exercise_name,group,current_involvement,reviewed_involvement,status,reviewer,reviewed_date,changes_made,notes
TRX Oblique Knee Tuck,core,"obliques:1.0, abs:0.7, serratus:0.4, deltoids:0.4","abs:primary, obliques:secondary, lowerBack:secondary, gluteMax:secondary",done,Codex,2026-06-27,reweighted obliques 1.0->0.4; reweighted abs 0.7->1.0; removed serratus; removed deltoids; added lowerBack:0.4; added glutes:0.4,"Plank mapping follows plank EMG: abs and obliques brace the trunk, lowerBack and glutes co-stabilize pelvis, and deltoids/serratus/triceps/quads support the closed-chain position."
TRX Rollout,core,"abs:1.0, obliques:0.7, lats:0.7, deltoids:0.4, serratus:0.4, lowerBack:0.2","abs:primary, obliques:secondary, lowerBack:secondary, lats:secondary, serratus:secondary, deltoids:secondary, triceps:stabilizer",done,Codex,2026-06-27,reweighted obliques 0.7->0.4; reweighted lats 0.7->0.4; reweighted lowerBack 0.2->0.4; added triceps:0.2,"Rollout mapping treats abs as primary anti-extension muscles, with obliques/lowerBack bracing and lats/serratus/deltoids/triceps stabilizing the shoulder and wheel/bar path."
Tuck L-Sit,core,"abs:1.0, hipFlexors:0.7, triceps:0.4","abs:primary, hipFlexors:secondary, triceps:secondary, quads:secondary, deltoids:stabilizer, forearms:stabilizer",done,Codex,2026-06-27,added quads:0.4; added deltoids:0.2; added forearms:0.2,"Lever/L-sit-style mapping combines anti-extension core demand with shoulder depression: abs and lats are high, with obliques, forearms, lowerBack, biceps, teres, and serratus stabilizing."
Weighted Leg Lower,core,"abs:1.0, hipFlexors:0.7, quads:0.4, obliques:0.2","abs:primary, hipFlexors:secondary, obliques:secondary",done,Codex,2026-06-27,removed quads; reweighted obliques 0.2->0.4,Leg-raise/knee-raise mapping uses trunk-exercise EMG showing strong abs with major hip-flexor contribution; hanging variants add grip/lats/teres stabilization.
Windshield Wiper,core,"obliques:1.0, abs:0.7, hipFlexors:0.4","obliques:primary, abs:secondary, lowerBack:secondary, lats:secondary, serratus:stabilizer, deltoids:stabilizer",done,Codex,2026-06-27,removed hipFlexors; added lowerBack:0.4; added lats:0.4; added serratus:0.2; added deltoids:0.2,"Rotation/woodchop/twist mapping keeps obliques primary, abs major, and lowerBack/lats/serratus/deltoids assisting rotation, anti-rotation, and implement control."
Half-Kneeling Medicine Ball Rotational Throw,core,"obliques:1.0, abs:0.7, deltoids:0.7, glutes:0.4, pectorals:0.4, triceps:0.2","obliques:primary, abs:secondary, deltoids:secondary, pectorals:secondary, gluteMax:secondary, triceps:stabilizer, quads:stabilizer, serratus:stabilizer",done,Codex,2026-06-27,added quads:0.2; added serratus:0.2,Rotational throw mapping combines oblique/abs trunk rotation with deltoid/pec/triceps/serratus ball acceleration and lower-body stabilization.
Single-Leg Box Squat,legs,"quads:1.0, glutes:1.0, hamstrings:0.7, adductors:0.4","quads:primary, gluteMax:secondary, gluteMed:secondary, adductors:secondary, hamstrings:secondary, calves:secondary, abs:secondary, obliques:secondary, lowerBack:stabilizer, shins:secondary",done,Codex,2026-06-27,reweighted glutes 1.0->0.7; reweighted hamstrings 0.7->0.4; reweighted adductors 0.4->0.7; added calves:0.4; added abs:0.4; added obliques:0.4; added lowerBack:0.2; added shins:0.4,"Single-leg squat mapping uses the reviewed lunge/monopodal-squat rules: quads primary, glutes/adductors major, hamstrings/calves assist, and obliques/shins rise for balance and dorsiflexion control."
Standing Cable Hip Abduction,legs,glutes:1.0,"gluteMed:primary, abs:stabilizer, obliques:stabilizer, hipFlexors:stabilizer",done,Codex,2026-06-27,added abs:0.2; added obliques:0.2; added hipFlexors:0.2,Hip abduction/adduction mapping follows hip action anatomy: glutes represent glute med/min abductors; adductors represent medial-thigh adduction; trunk muscles stabilize standing or side-lying positions.
Altitude Landing,legs,"quads:1.0, glutes:1.0, calves:0.7, hamstrings:0.7, adductors:0.4, abs:0.2","quads:primary, gluteMax:secondary, calves:secondary, hamstrings:secondary, adductors:secondary, abs:secondary, obliques:stabilizer, shins:stabilizer",done,Codex,2026-06-27,reweighted glutes 1.0->0.7; reweighted hamstrings 0.7->0.4; reweighted abs 0.2->0.4; added obliques:0.2; added shins:0.2,"Jump/landing mapping uses countermovement-jump and squat mechanics: quads drive takeoff/landing, glutes and calves are major, hamstrings/adductors/trunk/shins stabilize landing and propulsion."
Altitude Landing to Jump,legs,"quads:1.0, glutes:1.0, calves:0.7, hamstrings:0.7, adductors:0.4, abs:0.2","quads:primary, gluteMax:secondary, calves:secondary, hamstrings:secondary, adductors:secondary, abs:secondary, obliques:stabilizer, shins:stabilizer",done,Codex,2026-06-27,reweighted glutes 1.0->0.7; reweighted hamstrings 0.7->0.4; reweighted abs 0.2->0.4; added obliques:0.2; added shins:0.2,"Jump/landing mapping uses countermovement-jump and squat mechanics: quads drive takeoff/landing, glutes and calves are major, hamstrings/adductors/trunk/shins stabilize landing and propulsion."
Banded 1.5 Squat,legs,"quads:1.0, glutes:1.0, hamstrings:0.7, adductors:0.4, calves:0.4, abs:0.2, lowerBack:0.2","quads:primary, gluteMax:secondary, adductors:secondary, hamstrings:secondary, calves:secondary, abs:secondary, obliques:stabilizer, lowerBack:stabilizer, shins:stabilizer",done,Codex,2026-06-27,reweighted glutes 1.0->0.7; reweighted hamstrings 0.7->0.4; reweighted adductors 0.4->0.7; reweighted abs 0.2->0.4; added obliques:0.2; added shins:0.2,"Residual squat mapping uses the reviewed squat rules: quadriceps primary, glutes/adductors major, hamstrings dynamic stabilizers, calves/trunk/shins included for ankle and posture control."
Banded Accentuated Countermovement Jump,legs,"quads:1.0, glutes:1.0, calves:0.7, hamstrings:0.7, adductors:0.4, abs:0.2","quads:primary, gluteMax:secondary, calves:secondary, hamstrings:secondary, adductors:secondary, abs:secondary, obliques:stabilizer, shins:stabilizer",done,Codex,2026-06-27,reweighted glutes 1.0->0.7; reweighted hamstrings 0.7->0.4; reweighted abs 0.2->0.4; added obliques:0.2; added shins:0.2,"Jump/landing mapping uses countermovement-jump and squat mechanics: quads drive takeoff/landing, glutes and calves are major, hamstrings/adductors/trunk/shins stabilize landing and propulsion."
Banded Clamshell,legs,"glutes:1.0, adductors:0.4","gluteMed:primary, abs:stabilizer, obliques:stabilizer, hipFlexors:stabilizer",done,Codex,2026-06-27,removed adductors; added abs:0.2; added obliques:0.2; added hipFlexors:0.2,Hip abduction/adduction mapping follows hip action anatomy: glutes represent glute med/min abductors; adductors represent medial-thigh adduction; trunk muscles stabilize standing or side-lying positions.
Banded Lateral Walk,legs,"glutes:1.0, adductors:0.4, quads:0.4","gluteMed:primary, quads:secondary, adductors:stabilizer, abs:stabilizer, obliques:stabilizer",done,Codex,2026-06-27,reweighted adductors 0.4->0.2; added abs:0.2; added obliques:0.2,Hip abduction/adduction mapping follows hip action anatomy: glutes represent glute med/min abductors; adductors represent medial-thigh adduction; trunk muscles stabilize standing or side-lying positions.
Banded Single-Leg Hip Thrust,legs,"glutes:1.0, hamstrings:0.7, abs:0.4, quads:0.2","gluteMax:primary, gluteMed:secondary, hamstrings:secondary, abs:secondary, obliques:secondary, quads:stabilizer, adductors:stabilizer, calves:stabilizer, lowerBack:stabilizer",done,Codex,2026-06-27,reweighted hamstrings 0.7->0.4; added obliques:0.4; added adductors:0.2; added calves:0.2; added lowerBack:0.2,"Single-leg bridge/hip-thrust mapping uses the reviewed hip-thrust pattern plus unilateral pelvic-control demands: glutes remain primary, hamstrings assist, abs/obliques brace, and adductors/calves help stabilize the pelvis and stance limb."
Barbell Hack Squat,legs,"quads:1.0, glutes:1.0, hamstrings:0.7, lowerBack:0.4","quads:primary, gluteMax:secondary, adductors:secondary, hamstrings:secondary, calves:secondary, lowerBack:stabilizer, shins:stabilizer",done,Codex,2026-06-27,reweighted glutes 1.0->0.7; added adductors:0.4; reweighted hamstrings 0.7->0.4; added calves:0.4; reweighted lowerBack 0.4->0.2; added shins:0.2,"Hack/pendulum machine squat inferred from squat and leg-press sources: quadriceps primary, glutes/adductors/calf complex assist, hamstrings dynamic stabilizer, tibialis anterior trace near deep knee flexion; trunk demand reduced by machine support."
Barbell Hip Thrust,legs,"glutes:1.0, hamstrings:0.7, quads:0.4","gluteMax:primary, hamstrings:secondary, quads:stabilizer, abs:stabilizer, lowerBack:stabilizer",done,Codex,2026-06-27,reweighted hamstrings 0.7->0.4; reweighted quads 0.4->0.2; added abs:0.2; added lowerBack:0.2,"Hip-thrust/bridge review from ExRx hip thrust and hip-thrust EMG literature: glutes are the prime mover, hamstrings assist less than in hinges because the knee is flexed, quadriceps and lowerBack contribute trace stabilization, and abs brace the pelvis."
Barbell Forward Lunge,legs,"quads:1.0, glutes:1.0, hamstrings:0.7, adductors:0.4","quads:primary, gluteMax:secondary, gluteMed:secondary, adductors:secondary, hamstrings:secondary, calves:secondary, abs:secondary, obliques:stabilizer, lowerBack:stabilizer, shins:stabilizer, traps:stabilizer",done,Codex,2026-06-27,reweighted glutes 1.0->0.7; reweighted hamstrings 0.7->0.4; reweighted adductors 0.4->0.7; added calves:0.4; added abs:0.4; added obliques:0.2; added lowerBack:0.2; added shins:0.2; added traps:0.2,"Loaded lunge mapping uses the reviewed lunge profile plus implement stabilization: quads remain primary, glutes/adductors major, hamstrings/calves assist, trunk braces, shins trace ankle control, and forearms or traps hold the load depending on implement."
Walking Barbell Lunge,legs,"quads:1.0, glutes:1.0, hamstrings:0.7, adductors:0.4","quads:primary, gluteMax:secondary, gluteMed:secondary, adductors:secondary, hamstrings:secondary, calves:secondary, abs:secondary, obliques:stabilizer, lowerBack:stabilizer, shins:stabilizer, traps:stabilizer",done,Codex,2026-06-27,reweighted glutes 1.0->0.7; reweighted hamstrings 0.7->0.4; reweighted adductors 0.4->0.7; added calves:0.4; added abs:0.4; added obliques:0.2; added lowerBack:0.2; added shins:0.2; added traps:0.2,"Loaded lunge mapping uses the reviewed lunge profile plus implement stabilization: quads remain primary, glutes/adductors major, hamstrings/calves assist, trunk braces, shins trace ankle control, and forearms or traps hold the load depending on implement."
Barbell Romanian Deadlift,legs,"hamstrings:1.0, glutes:1.0, lowerBack:0.7, forearms:0.4","hamstrings:primary, gluteMax:secondary, lowerBack:secondary, forearms:secondary, abs:secondary, obliques:stabilizer, traps:stabilizer, lats:stabilizer, adductors:stabilizer, calves:stabilizer",done,Codex,2026-07-19,reweighted glutes 1.0->0.7; added abs:0.4; added obliques:0.2; added traps:0.2; added lats:0.2; added adductors:0.2; added calves:0.2,"RDL/stiff-leg hinge mapping uses ExRx straight-leg deadlift and RDL EMG evidence: hamstrings are the prime hip extensor under stretch, glutes and spinal erectors contribute strongly, grip and shoulder-girdle muscles hold the implement, and trunk/calf/adductor activity stabilizes stance."
Barbell Step-Back Lunge,legs,"quads:1.0, glutes:1.0, hamstrings:0.7, adductors:0.4","quads:primary, gluteMax:secondary, gluteMed:secondary, adductors:secondary, hamstrings:secondary, calves:secondary, abs:secondary, obliques:stabilizer, lowerBack:stabilizer, shins:stabilizer, traps:stabilizer",done,Codex,2026-06-27,reweighted glutes 1.0->0.7; reweighted hamstrings 0.7->0.4; reweighted adductors 0.4->0.7; added calves:0.4; added abs:0.4; added obliques:0.2; added lowerBack:0.2; added shins:0.2; added traps:0.2,"Loaded lunge mapping uses the reviewed lunge profile plus implement stabilization: quads remain primary, glutes/adductors major, hamstrings/calves assist, trunk braces, shins trace ankle control, and forearms or traps hold the load depending on implement."
Belt Squat,legs,"quads:1.0, glutes:1.0, hamstrings:0.7, adductors:0.4","quads:primary, gluteMax:secondary, adductors:secondary, hamstrings:secondary, calves:secondary, abs:stabilizer, obliques:stabilizer, shins:stabilizer",done,Codex,2026-06-27,reweighted glutes 1.0->0.7; reweighted adductors 0.4->0.7; reweighted hamstrings 0.7->0.4; added calves:0.4; added abs:0.2; added obliques:0.2; added shins:0.2,"Squat-family review from NASM and ExRx: quadriceps primary; gluteus maximus, adductor magnus, and calf complex assist; hamstrings act mainly as dynamic stabilizers; trunk muscles stabilize loaded squats. Added shins:0.2 for tibialis anterior dorsiflexion/ankle-position control during descent."
Bodyweight Squat,legs,"quads:1.0, glutes:1.0, hamstrings:0.7, adductors:0.4","quads:primary, gluteMax:secondary, adductors:secondary, hamstrings:secondary, calves:secondary, lowerBack:stabilizer, abs:stabilizer, obliques:stabilizer, shins:stabilizer",done,Codex,2026-06-27,reweighted glutes 1.0->0.7; reweighted adductors 0.4->0.7; reweighted hamstrings 0.7->0.4; added calves:0.4; added lowerBack:0.2; added abs:0.2; added obliques:0.2; added shins:0.2,"Squat-family review from NASM and ExRx: quadriceps primary; gluteus maximus, adductor magnus, and calf complex assist; hamstrings act mainly as dynamic stabilizers; trunk muscles stabilize loaded squats. Added shins:0.2 for tibialis anterior dorsiflexion/ankle-position control during descent."
Box Jump,legs,"quads:1.0, glutes:1.0, calves:0.7, hamstrings:0.4","quads:primary, gluteMax:secondary, calves:secondary, hamstrings:secondary, adductors:secondary, abs:secondary, obliques:stabilizer, shins:stabilizer",done,Codex,2026-07-19,reweighted glutes 1.0->0.7; added adductors:0.4; added abs:0.4; added obliques:0.2; added shins:0.2,"Jump/conditioning mapping combines reviewed squat/jump mechanics: quads primary, glutes/calves major, hamstrings/adductors/trunk/shins assist landing and propulsion."
Barbell Box Squat,legs,"quads:1.0, glutes:1.0, hamstrings:0.7, adductors:0.4, lowerBack:0.4, abs:0.2, calves:0.2","quads:primary, gluteMax:secondary, adductors:secondary, hamstrings:secondary, calves:secondary, lowerBack:secondary, abs:stabilizer, obliques:stabilizer, shins:stabilizer",done,Codex,2026-06-27,reweighted glutes 1.0->0.7; reweighted adductors 0.4->0.7; reweighted hamstrings 0.7->0.4; reweighted calves 0.2->0.4; added obliques:0.2; added shins:0.2,"Squat-family review from NASM and ExRx: quadriceps primary; gluteus maximus, adductor magnus, and calf complex assist; hamstrings act mainly as dynamic stabilizers; trunk muscles stabilize loaded squats. Added shins:0.2 for tibialis anterior dorsiflexion/ankle-position control during descent."
Plate-Held Braced Squat,legs,"quads:1.0, glutes:1.0, hamstrings:0.7, adductors:0.4","quads:primary, gluteMax:secondary, adductors:secondary, hamstrings:secondary, calves:secondary, abs:stabilizer, obliques:stabilizer, lowerBack:stabilizer, shins:stabilizer",done,Codex,2026-06-27,reweighted glutes 1.0->0.7; reweighted hamstrings 0.7->0.4; reweighted adductors 0.4->0.7; added calves:0.4; added abs:0.2; added obliques:0.2; added lowerBack:0.2; added shins:0.2,"Residual squat mapping uses the reviewed squat rules: quadriceps primary, glutes/adductors major, hamstrings dynamic stabilizers, calves/trunk/shins included for ankle and posture control."
Dumbbell Bulgarian Split Squat,legs,"quads:1.0, glutes:1.0, hamstrings:0.7, adductors:0.4","quads:primary, gluteMax:secondary, gluteMed:secondary, adductors:secondary, hamstrings:secondary, calves:secondary, abs:secondary, obliques:secondary, lowerBack:stabilizer, shins:stabilizer, forearms:stabilizer",done,Codex,2026-06-27,reweighted glutes 1.0->0.7; reweighted hamstrings 0.7->0.4; reweighted adductors 0.4->0.7; added calves:0.4; added abs:0.4; added obliques:0.4; added lowerBack:0.2; added shins:0.2; added forearms:0.2,"Split-squat/Bulgarian mapping uses lunge and monopodal-squat EMG evidence: quads are primary, glutes/adductors major, hamstrings/calves assist, and abs/obliques/lowerBack/shins stabilize the unilateral stance and balance."
Burpee,legs,"pectorals:1.0, triceps:0.7, quads:0.7, glutes:0.7, deltoids:0.4, abs:0.4","quads:primary, gluteMax:primary, pectorals:secondary, triceps:secondary, deltoids:secondary, calves:secondary, hamstrings:secondary, abs:stabilizer, obliques:stabilizer, serratus:stabilizer",done,Codex,2026-06-27,reweighted pectorals 1.0->0.7; added hamstrings:0.4; added calves:0.4; added serratus:0.4; added obliques:0.2; added lowerBack:0.2; added shins:0.2,"Burpee mapping combines the reviewed push-up and squat/leg-press mechanics: no single region owns the whole exercise, so pectorals/triceps/quads/glutes are major, with serratus, trunk, hamstrings, calves, lowerBack, and shins included for push-up and jump/squat phases."
Cable Pull-Through,legs,"glutes:1.0, hamstrings:0.7, lowerBack:0.4","gluteMax:primary, hamstrings:secondary, lowerBack:secondary, forearms:secondary, abs:secondary, obliques:stabilizer, lats:stabilizer",done,Codex,2026-06-27,added forearms:0.4; added abs:0.4; added obliques:0.2; added lats:0.2,"Cable pull-through mapping is inferred from the reviewed RDL/hinge pattern: glutes drive terminal hip extension, hamstrings assist, lowerBack and trunk stabilize the hinge, and forearms/lats manage the cable handle."
Leg Press Calf Raise,legs,calves:1.0,"calves:primary, quads:stabilizer",done,Codex,2026-07-19,added quads:stabilizer,"The calves produce plantarflexion while the quadriceps hold the knee extended against the leg-press carriage, so quads receive stabilizer-only credit rather than dynamic-set volume."
Hack Squat Machine Calf Raise,legs,calves:1.0,calves:primary,done,Codex,2026-06-27,no mapping change; reviewed and confirmed,Calf/tibialis isolation mapping keeps plantarflexion as calves-only and dorsiflexion/tibialis raises as shins-only in the app vocabulary.
Single-Leg Calf Raise,legs,calves:1.0,calves:primary,done,Codex,2026-06-27,no mapping change; reviewed and confirmed,Calf/tibialis isolation mapping keeps plantarflexion as calves-only and dorsiflexion/tibialis raises as shins-only in the app vocabulary.
Clamshell,legs,"glutes:1.0, abs:0.4","gluteMed:primary, gluteMax:secondary, abs:stabilizer",done,Codex,2026-07-19,converted reviewed tiers to roles; applied biomechanics remediation,"The conventional side-lying clamshell trains hip external rotation/abduction: glute medius is primary, glute max is secondary, and the trunk stabilizes the stacked pelvis."
Barbell Clean,legs,"quads:1.0, glutes:1.0, hamstrings:1.0, traps:0.7, deltoids:0.7, lowerBack:0.4, forearms:0.4","gluteMax:primary, quads:primary, hamstrings:secondary, traps:secondary, lowerBack:secondary, calves:secondary, deltoids:secondary, forearms:secondary, abs:secondary, obliques:stabilizer, lats:stabilizer",done,Codex,2026-06-27,reweighted hamstrings 1.0->0.7; reweighted deltoids 0.7->0.4; reweighted lowerBack 0.4->0.7; added calves:0.4; added abs:0.4; added obliques:0.2; added lats:0.2,"Olympic-pull mapping follows ExRx clean/snatch mechanics and weightlifting EMG consensus: glutes and quadriceps drive triple extension, hamstrings and lowerBack assist through the pull, traps/calf complex contribute to extension/shrug, forearms grip, and trunk muscles brace the catch."
Hands-on-Hips Countermovement Jump,legs,"quads:1.0, glutes:1.0, calves:0.7, hamstrings:0.7, adductors:0.4, abs:0.2","quads:primary, gluteMax:secondary, calves:secondary, hamstrings:secondary, adductors:secondary, abs:secondary, obliques:stabilizer, shins:stabilizer",done,Codex,2026-06-27,reweighted glutes 1.0->0.7; reweighted hamstrings 0.7->0.4; reweighted abs 0.2->0.4; added obliques:0.2; added shins:0.2,"Jump/landing mapping uses countermovement-jump and squat mechanics: quads drive takeoff/landing, glutes and calves are major, hamstrings/adductors/trunk/shins stabilize landing and propulsion."
Copenhagen Hip Adduction,legs,"adductors:1.0, obliques:0.4, abs:0.4","adductors:primary, abs:stabilizer, obliques:stabilizer",done,Codex,2026-06-27,reweighted obliques 0.4->0.2; reweighted abs 0.4->0.2,Hip abduction/adduction mapping follows hip action anatomy: glutes represent glute med/min abductors; adductors represent medial-thigh adduction; trunk muscles stabilize standing or side-lying positions.
Cossack Squat,legs,"quads:1.0, glutes:1.0, adductors:0.7, hamstrings:0.4","quads:primary, adductors:primary, gluteMax:secondary, gluteMed:secondary, hamstrings:secondary, calves:secondary, abs:secondary, obliques:secondary, lowerBack:stabilizer, shins:stabilizer",done,Codex,2026-06-27,reweighted glutes 1.0->0.7; reweighted adductors 0.7->1.0; added calves:0.4; added abs:0.4; added obliques:0.4; added lowerBack:0.2; added shins:0.2,"Lateral lunge/Cossack mapping uses lunge plus lateral-step-up/monopodal-squat evidence: quads and adductors are primary, glutes major, hamstrings/calves assist, and obliques/lowerBack/shins stabilize frontal-plane control."
Criss-Cross Jump,legs,"calves:1.0, quads:1.0, adductors:0.7, glutes:0.7, hamstrings:0.4, abs:0.2","quads:primary, gluteMax:secondary, gluteMed:secondary, calves:secondary, hamstrings:secondary, adductors:secondary, abs:secondary, obliques:stabilizer, shins:stabilizer",done,Codex,2026-06-27,reweighted calves 1.0->0.7; reweighted adductors 0.7->0.4; reweighted abs 0.2->0.4; added obliques:0.2; added shins:0.2,"Jump/landing mapping uses countermovement-jump and squat mechanics: quads drive takeoff/landing, glutes and calves are major, hamstrings/adductors/trunk/shins stabilize landing and propulsion."
Double-Kettlebell Front Squat,legs,"quads:1.0, glutes:0.7, abs:0.4, adductors:0.4","quads:primary, gluteMax:secondary, adductors:secondary, hamstrings:secondary, calves:secondary, lowerBack:stabilizer, abs:secondary, obliques:stabilizer, deltoids:stabilizer, traps:stabilizer, shins:stabilizer",done,Codex,2026-06-27,reweighted adductors 0.4->0.7; added hamstrings:0.4; added calves:0.4; added lowerBack:0.2; added obliques:0.2; added deltoids:0.2; added traps:0.2; added shins:0.2,Front-loaded squat inference from ExRx front squat: quadriceps target; gluteus maximus/adductor magnus/soleus synergists; hamstrings/gastrocnemius dynamic stabilizers; trunk brace and rack/shoulder-girdle stabilizers scaled down to app muscles. Added shins:0.2 because tibialis anterior controls dorsiflexion/ankle position near deep knee flexion.
Double-Leg Calf Raise,legs,calves:1.0,calves:primary,done,Codex,2026-06-27,no mapping change; reviewed and confirmed,Calf/tibialis isolation mapping keeps plantarflexion as calves-only and dorsiflexion/tibialis raises as shins-only in the app vocabulary.
Dragon Squat,legs,"quads:1.0, glutes:1.0, hamstrings:0.7, adductors:0.7, calves:0.4, abs:0.2","quads:primary, gluteMax:secondary, gluteMed:secondary, adductors:secondary, hamstrings:secondary, calves:secondary, abs:secondary, obliques:secondary, lowerBack:stabilizer, shins:secondary",done,Codex,2026-06-27,reweighted glutes 1.0->0.7; reweighted hamstrings 0.7->0.4; reweighted abs 0.2->0.4; added obliques:0.4; added lowerBack:0.2; added shins:0.4,"Single-leg squat mapping uses the reviewed lunge/monopodal-squat rules: quads primary, glutes/adductors major, hamstrings/calves assist, and obliques/shins rise for balance and dorsiflexion control."
Dumbbell Countermovement Jump,legs,"quads:1.0, glutes:1.0, calves:0.7, hamstrings:0.7, deltoids:0.4, abs:0.2","quads:primary, gluteMax:secondary, calves:secondary, hamstrings:secondary, adductors:secondary, abs:secondary, obliques:stabilizer, shins:stabilizer",done,Codex,2026-06-27,reweighted glutes 1.0->0.7; reweighted hamstrings 0.7->0.4; removed deltoids; reweighted abs 0.2->0.4; added adductors:0.4; added obliques:0.2; added shins:0.2,"Jump/landing mapping uses countermovement-jump and squat mechanics: quads drive takeoff/landing, glutes and calves are major, hamstrings/adductors/trunk/shins stabilize landing and propulsion."
Dumbbell Deadlift,legs,"hamstrings:1.0, glutes:1.0, lowerBack:0.7, quads:0.4, forearms:0.4","gluteMax:primary, lowerBack:secondary, hamstrings:secondary, quads:secondary, forearms:secondary, adductors:secondary, calves:secondary, abs:secondary, obliques:stabilizer, traps:stabilizer, lats:stabilizer",done,Codex,2026-06-27,reweighted hamstrings 1.0->0.7; reweighted quads 0.4->0.7; reweighted forearms 0.4->0.7; added adductors:0.4; added calves:0.4; added abs:0.4; added obliques:0.2; added traps:0.2; added lats:0.2,"Deadlift-family mapping inferred from the ExRx deadlift profile with dumbbell loading: glutes and spinal erectors remain primary/major, hamstrings and quadriceps assist, forearms grip, and trunk plus shoulder-girdle muscles stabilize the load."
Dumbbell Frog Pump,legs,"glutes:1.0, hamstrings:0.7, adductors:0.4","gluteMax:primary, adductors:secondary, hamstrings:stabilizer, abs:stabilizer",done,Codex,2026-06-27,reweighted hamstrings 0.7->0.2; added abs:0.2,"Frog-press mapping is inferred from glute bridge mechanics with externally rotated hips: glutes are primary, adductors stabilize the hip position, hamstrings assist lightly, and abs brace the pelvis."
Dumbbell Front Squat,legs,"quads:1.0, glutes:0.7, abs:0.4, adductors:0.4","quads:primary, gluteMax:secondary, adductors:secondary, hamstrings:secondary, calves:secondary, lowerBack:stabilizer, abs:secondary, obliques:stabilizer, deltoids:stabilizer, traps:stabilizer, shins:stabilizer",done,Codex,2026-06-27,reweighted adductors 0.4->0.7; added hamstrings:0.4; added calves:0.4; added lowerBack:0.2; added obliques:0.2; added deltoids:0.2; added traps:0.2; added shins:0.2,Front-loaded squat inference from ExRx front squat: quadriceps target; gluteus maximus/adductor magnus/soleus synergists; hamstrings/gastrocnemius dynamic stabilizers; trunk brace and rack/shoulder-girdle stabilizers scaled down to app muscles. Added shins:0.2 because tibialis anterior controls dorsiflexion/ankle position near deep knee flexion.
Dumbbell Goblet Squat,legs,"quads:1.0, glutes:1.0, hamstrings:0.7, adductors:0.4","quads:primary, gluteMax:secondary, adductors:secondary, hamstrings:secondary, calves:secondary, lowerBack:stabilizer, abs:secondary, obliques:stabilizer, shins:stabilizer",done,Codex,2026-06-27,reweighted glutes 1.0->0.7; reweighted adductors 0.4->0.7; reweighted hamstrings 0.7->0.4; added calves:0.4; added lowerBack:0.2; added abs:0.4; added obliques:0.2; added shins:0.2,"Squat-family review from NASM and ExRx: quadriceps primary; gluteus maximus, adductor magnus, and calf complex assist; hamstrings act mainly as dynamic stabilizers; trunk muscles stabilize loaded squats. Added shins:0.2 for tibialis anterior dorsiflexion/ankle-position control during descent."
Dumbbell Hang Power Clean,legs,"traps:1.0, glutes:1.0, hamstrings:1.0, deltoids:0.7, quads:0.7, lowerBack:0.4, forearms:0.4","gluteMax:primary, hamstrings:secondary, quads:secondary, traps:secondary, deltoids:secondary, lowerBack:secondary, forearms:secondary, calves:secondary, abs:secondary, obliques:stabilizer",done,Codex,2026-07-19,reweighted traps 1.0->0.7; reweighted hamstrings 1.0->0.7; reweighted deltoids 0.7->0.4; added calves:0.4; added abs:0.4; added obliques:0.2,"Olympic-pull mapping follows ExRx clean/snatch mechanics and weightlifting EMG consensus: glutes and quadriceps drive triple extension, hamstrings and lowerBack assist through the pull, traps/calf complex contribute to extension/shrug, forearms grip, and trunk muscles brace the catch. Hang dumbbell variation reduces first-pull knee demand but keeps hip extension, shrug, catch, grip, and trunk bracing."
Dumbbell Hip Thrust,legs,"glutes:1.0, hamstrings:0.7, quads:0.4","gluteMax:primary, hamstrings:secondary, quads:stabilizer, abs:stabilizer, lowerBack:stabilizer",done,Codex,2026-06-27,reweighted hamstrings 0.7->0.4; reweighted quads 0.4->0.2; added abs:0.2; added lowerBack:0.2,"Hip-thrust/bridge review from ExRx hip thrust and hip-thrust EMG literature: glutes are the prime mover, hamstrings assist less than in hinges because the knee is flexed, quadriceps and lowerBack contribute trace stabilization, and abs brace the pelvis. Dumbbell loading does not materially change lower-body roles."
Dumbbell Forward Lunge,legs,"quads:1.0, glutes:1.0, hamstrings:0.7, adductors:0.4","quads:primary, gluteMax:secondary, gluteMed:secondary, adductors:secondary, hamstrings:secondary, calves:secondary, abs:secondary, obliques:stabilizer, lowerBack:stabilizer, shins:stabilizer, forearms:stabilizer",done,Codex,2026-06-27,reweighted glutes 1.0->0.7; reweighted hamstrings 0.7->0.4; reweighted adductors 0.4->0.7; added calves:0.4; added abs:0.4; added obliques:0.2; added lowerBack:0.2; added shins:0.2; added forearms:0.2,"Loaded lunge mapping uses the reviewed lunge profile plus implement stabilization: quads remain primary, glutes/adductors major, hamstrings/calves assist, trunk braces, shins trace ankle control, and forearms or traps hold the load depending on implement."
